casualty_imd_decile,crash_count,total_cycling_commuters,crash_rate_per_1000_cyclists_per_year
1,244,2421.0,50.39239983477901
2,125,1278.0,48.90453834115806
3,96,1225.0,39.183673469387756
4,74,778.0,47.55784061696658
5,71,898.0,39.53229398663697
6,33,302.0,54.63576158940398
7,25,240.0,52.083333333333336
8,16,137.0,58.394160583941606
9,30,229.0,65.50218340611353
10,20,111.0,90.09009009009009
