casualty_imd_decile,crash_count,total_cycling_commuters,crash_rate_per_1000_cyclists_per_year
1,397,14127.0,14.051107807744037
2,1550,60675.0,12.77297074577668
3,1599,61394.0,13.022445190083722
4,1261,53614.0,11.759988062819414
5,1043,38766.0,13.452509931383172
6,795,26148.0,15.201927489674162
7,623,18596.0,16.75091417509142
8,492,14693.0,16.742666575920506
9,475,11856.0,20.032051282051285
10,312,5867.0,26.58939832964036
