casualty_imd_decile,crash_count,total_cycling_commuters,crash_rate_per_1000_cyclists_per_year
1,160,2925.0,27.35042735042735
2,108,1853.0,29.14193200215866
3,92,2307.0,19.939315127871694
4,67,1838.0,18.226332970620238
5,57,832.0,34.25480769230769
6,51,1163.0,21.92605331040413
7,44,715.0,30.76923076923077
8,64,778.0,41.13110539845758
9,42,418.0,50.239234449760765
10,34,246.0,69.10569105691057
