Model,Accuracy,Precision,Recall,F1,AUC,Eval,Region
Logistic Regression,0.768,0.376,0.149,0.213,0.608,80/20 split,Greater London
Random Forest,0.741,0.316,0.197,0.243,0.599,80/20 split,Greater London
LightGBM,0.78,0.4,0.091,0.148,0.616,80/20 split,Greater London
Logistic Regression,0.608 ±0.032,0.339 ±0.082,0.253 ±0.095,0.288 ±0.093,0.552 ±0.059,5-fold CV,Greater Manchester
Random Forest,0.640 ±0.020,0.374 ±0.088,0.207 ±0.082,0.264 ±0.089,0.545 ±0.036,5-fold CV,Greater Manchester
LightGBM,0.623 ±0.031,0.378 ±0.068,0.278 ±0.068,0.320 ±0.070,0.522 ±0.068,5-fold CV,Greater Manchester
Logistic Regression,0.691 ±0.012,0.330 ±0.086,0.214 ±0.077,0.259 ±0.085,0.554 ±0.029,5-fold CV,West Midlands
Random Forest,0.716 ±0.018,0.398 ±0.096,0.219 ±0.086,0.278 ±0.094,0.592 ±0.041,5-fold CV,West Midlands
LightGBM,0.674 ±0.025,0.311 ±0.076,0.214 ±0.065,0.253 ±0.070,0.582 ±0.049,5-fold CV,West Midlands
